segid,segstart,segend,verbatim,intended
28m_036,382.54,384.6,than just the words you choose so i mean,than just the words you choose so i mean
28m_037,384.6,390.19,it's i think it's truly being in control and saying not only what you wanna say but in the manner you wanna say too,i think it's truly being in control and saying not only what you wanna say but in the manner you wanna say too
28m_038,390.19,396.55,and you know that's i think one of the uh uh why i feel stutter's been been a hindrance to to successful communication,and you know that's i think why i feel stutter's been a hindrance to successful communication
28m_039,407.94,416.9,um just in in general i i guess when i feel that the person i'm speaking with that we're we're understanding each other we're we're on the same wavelength,just in general i guess when i feel that the person i'm speaking with that we're understanding each other we're on the same wavelength
28m_040,416.97,422.33,and and uh there isn't that sort of con confusion where where we're not quite sure what the other person is saying,and there isn't that sort of confusion where we're not quite sure what the other person is saying
28m_041,424.26,429.22,and and and e even with a stutter that that that that's possible but but it can be obviously more challenging,and even with a stutter that's possible but it can be obviously more challenging
28m_042,441.6,450.18,i mean for me i don't really have to speculate because for for you know the first ei eighteen years of my life i i i i i didn't stutter,i mean for me i don't really have to speculate because for you know the first eighteen years of my life i didn't stutter
28m_043,451.94,452.62,and um,and
28m_044,457.91,478.8,and and uh and since i know it i just compare myself to uh to to the way i was then and and the way i was now and you know i was i was so much more confident and and i had a lot more of a social life then and uh you know kind especially when i when i got to college and started stuttering i mean i i lost a lot of that and and so it's now it's kind of a matter of trying to get get get get get that all back,and since i know it i just compare myself to the way i was then and the way i was now and you know i was so much more confident and i had a lot more of a social life then and you know especially when i got to college and started stuttering i mean i lost a lot of that and so now it's kind of a matter of trying to get that all back
28m_045,479.44,497.94,um and it you know and and yeah i th think with my success in you know uh professionally and socially i th i think i'd probably much easier time than i do now but it's it's not to um say that everything would be perfect if i if i didn't stutter,you know and yeah i think with my success you know professionally and socially i think i'd probably much easier time than i do now but it's not to say that everything would be perfect if i didn't stutter
28m_046,497.94,500.63,and and you know there'll still be challenges and things like that,and you know there'll still be challenges and things like that
28m_047,500.67,519.19,and and um but um um and i i guess also too uh mean i one thing i i've been that helps me to think about positive experiences that that i that that that that i um that that that that that that i had that i w wouldn't have had if i didn't stutter,and i guess also too mean one thing that helps me to think about positive experiences that i had that i wouldn't have had if i didn't stutter
28m_048,519.37,526.89,so for example like coming to a conference like this is is is kinda the the the the the pinnacle of that and you know if i didn't stutter i wouldn't get to experience something like this,so for example like coming to a conference like this is kinda the pinnacle of that and you know if i didn't stutter i wouldn't get to experience something like this
28m_049,541.17,553.61,i think i mean the way that i would want uh any l listener to to um um interpret stuttering is just that you know it's just a form of diversity and that that you know not everybody communicates the same way,i think i mean the way that i would want any listener to interpret stuttering is just that you know it's just a form of diversity and that you know not everybody communicates the same way
28m_050,553.61,566.46,and in the same way that you know we're encouraged to celebrate you know racial or ethnic diversity we should embrace you know s stuttering and different ways of communicating a as well in instead of it seen you know as as uh something wrong with that person,and in the same way that you know we're encouraged to celebrate you know racial or ethnic diversity we should embrace you know stuttering and different ways of communicating as well in instead of it seen you know as something wrong with that person
28m_051,566.84,573.65,i mean i can as a stutterer myself i mean i can be frustrated but but i don't i don't think it's the listener gets gets to do that,as a stutterer myself i mean i can be frustrated but i don't think it's the listener gets to do that
28m_052,574.49,593.3,um and then you know for for um you know a student of speech pathology just to make sure that your view a client as not just a client but as a full person i think is important just you know take the time to get get to know them as not just you know a case study but but you know as an actual human being that that you know you can form a genuine connection with,and then you know for you know a student of speech pathology just to make sure that your view a client as not just a client but as a full person i think is important just you know take the time to get to know them as not just you know a case study but you know as an actual human being that you know you can form a genuine connection with
28m_053,611.14,628.34,i th you know just as a society we're so um wired to want everything with instant gratification and you know lot of to technology i mean you want you want you question you just pull out your phone and and and google it and the answer's right at your fingertips and i think we we expect that with speech as well,you know just as a society we're so wired to want everything with instant gratification and you know lot of to technology you question you just pull out your phone and and google it and the answer's right at your fingertips and i think we expect that with speech as well
28m_054,628.34,641.35,but i think just to um realize that you know it's okay if there's a little bit of a delay and and and and uh um you know not everything's gonna come right away and some things are just w worth w waiting for,but i think just to realize that you know it's okay if there's a little bit of a delay and you know not everything's gonna come right away and some things are just worth waiting for
28m_055,641.35,642.63,making a little bit of extra effort,making a little bit of extra effort
29ma_000,27.12,45.16,alright um i would say probably more than most people stuttering impacts my daily life in that i'm a speech pathologist because i stutter and i am getting my phd in speech pathology so i can study s stuttering,alright i would say probably more than most people stuttering impacts my daily life in that i'm a speech pathologist because i stutter and i am getting my phd in speech pathology so i can study stuttering
29ma_001,45.91,51.03,and um so i'm constantly thinking about stuttering and talking,and so i'm constantly thinking about stuttering and talking
29ma_002,51.03,51.65,about stuttering,about stuttering
29ma_003,52.35,58.51,and i also run a self help group in memphis for people who stutter,and i also run a self help group in memphis for people who stutter
29ma_004,58.51,74.6,and i'm friends with lots of people in memphis who stutter so uh for better or for worse stuttering has taken up an inordinate amount of my life and my time um in terms of but that's i i guess that's thinking about stuttering ab abstractly,and i'm friends with lots of people in memphis who stutter so for better or for worse stuttering has taken up an inordinate amount of my life and my time i guess that's thinking about stuttering abstractly
29ma_005,75.06,77.17,in terms of thinking about my own stuttering,in terms of thinking about my own stuttering
29ma_006,78.11,82.26,um i have to say i think about it much less than i used to,i have to say i think about it much less than i used to
29ma_007,82.54,85.63,i used i i used to think about it every time i opened up my mouth,i used to think about it every time i opened up my mouth
29ma_008,86.43,95.0,and every every word i said would i would say when at its peak almost every word i said had a little bit of stuttering in it um,i would say when at its peak almost every word i said had a little bit of stuttering in it
29ma_009,96.57,105.24,and now i still have it still fluctuates there's still good days and bad days,it still fluctuates there's still good days and bad days
29ma_010,105.77,114.58,and days where i'm still trying not to stutter and still avoiding and on those days i would say i still think about stuttering quite often,and days where i'm still trying not to stutter and still avoiding and on those days i would say i still think about stuttering quite often
29ma_011,115.27,117.36,in that i think about not wanting to stutter,in that i think about not wanting to stutter
29ma_012,117.94,123.46,but on on most days i think i'm very comfortable with letting stuttering happen,but on most days i think i'm very comfortable with letting stuttering happen
29ma_013,124.4,134.85,and um even using stuttering to um connect better with people,and even using stuttering to connect better with people
29ma_014,135.49,143.26,i've uh i've i've often had the experience of after hearing me stutter people sharing experiences with me,i've often had the experience of after hearing me stutter people sharing experiences with me
29ma_015,143.52,153.11,seemingly unrelated to stuttering whether it's uh depression or soc psychological issues or other issues,seemingly unrelated to stuttering whether it's depression or psychological issues or other issues
29ma_016,153.17,163.34,uh fears and other emotional things and so i i feel that often my my stuttering acts as like a a way of connecting with people more,fears and other emotional things and so i feel that often my stuttering acts as like a way of connecting with people more
29ma_017,163.44,173.05,and in that way um i do think about when i'm speaking trying to stutter as openly as possible,and in that way i do think about when i'm speaking trying to stutter as openly as possible
29ma_018,173.05,176.63,in order to create that sort of intimacy in the conversation,in order to create that sort of intimacy in the conversation
29ma_019,177.25,182.62,um but i think about it much less than i used to when i was still struggling with it,but i think about it much less than i used to when i was still struggling with it
29ma_020,183.25,184.25,uh yeah,yeah
29ma_021,191.67,198.59,um i think lots of i guess the cause the actual physical mechanism that creates a disfluency,i guess the cause the actual physical mechanism that creates a disfluency
29ma_022,198.59,205.93,it seems that most of the research is suggesting it's has uh genetic origins,it seems that most of the research is suggesting it's has genetic origins
29ma_023,205.99,208.55,or there you have a genetic predisposition to stutter,or you have a genetic predisposition to stutter
29ma_024,209.11,221.22,and then depending on how you develop um i would imagine in the womb and also through childhood those genes can be expressed to more or less an extent,and then depending on how you develop i would imagine in the womb and also through childhood those genes can be expressed to more or less an extent
29ma_025,221.35,231.11,and then um the way your neurophysiology and autonomy anatomy develop,and then the way your neurophysiology and anatomy develop
29ma_026,231.24,239.72,um seems to either re reinforce stuttering or to help it uh dissolve re resolve on its own,seems to either reinforce stuttering or to help it resolve on its own
29ma_027,240.42,248.03,and it seems that uh through childhood we develop patterns of speaking,and it seems that through childhood we develop patterns of speaking
29ma_028,248.59,251.8,and those patterns of speaking get coded in our brains,and those patterns of speaking get coded in our brains
29ma_029,251.88,254.53,through neural connections and pathways,through neural connections and pathways
29ma_030,255.11,262.62,and we can reinforce stuttered ways of speaking through our,and we can reinforce stuttered ways of speaking through our
29ma_031,262.78,269.35,um i don't want i don't wanna say bad habits 'cause i don't think it's a good or bad thing it just it's just something that happens automatically,i don't wanna say bad habits 'cause i don't think it's a good or bad thing it's just something that happens automatically
29ma_032,269.35,278.23,but i think if the stuttering doesn't resolve in early childhood and you start to develop reactions to it,but i think if the stuttering doesn't resolve in early childhood and you start to develop reactions to it
29ma_033,278.72,289.22,those reactions help to reinforce the stuttering and you and it is it continues to become habitual and and and harder to uh,those reactions help to reinforce the stuttering and it continues to become habitual and harder to
29ma_034,290.11,290.95,not react to,not react to
29ma_035,292.14,302.46,and so i i i think most of what you would call stuttering is is those those deep seated neurological connections that you've built up through childhood,and so i think most of what you would call stuttering is those deep seated neurological connections that you've built up through childhood
29ma_036,302.98,307.09,and i think that's why therapy is so hard is 'cause not only are you changing your reactions,and i think that's why therapy is so hard is 'cause not only are you changing your reactions
29ma_037,307.6,320.03,but your reactions all have neural corr correlates and uh you you're you're i think you're reprogramming your your brain a bit as you get as you get more comfortable speaking,but your reactions all have neural correlates and i think you're reprogramming your brain a bit as you get more comfortable speaking
29ma_038,320.65,325.45,um but also i think the experience of stuttering happens within a social context,but also i think the experience of stuttering happens within a social context
29ma_039,325.47,330.68,and our context is one where stuttering is devalued and the stigma around stuttering,and our context is one where stuttering is devalued and the stigma around stuttering
29ma_040,330.68,337.44,and having a disability and i think that contributes to the reactions that we have,and having a disability and i think that contributes to the reactions that we have
29ma_041,338.28,347.81,and uh i would imagine that people stuttering would look drastically different in a society that uh accepted it completely,and i would imagine that people stuttering would look drastically different in a society that accepted it completely
29ma_042,347.81,355.61,like if if the world was like the nsa i think stuttering would sound and look different um,like if the world was like the nsa i think stuttering would sound and look different
29ma_043,356.78,364.13,i don't think the way we speak is directly written in our genes or in our brains i i think it always interacts with where we're living,i don't think the way we speak is directly written in our genes or in our brains i think it always interacts with where we're living
29ma_044,378.79,381.81,i had speech therapy when i was really young,i had speech therapy when i was really young
29ma_045,382.46,388.78,for it started for my articulation i uh i think i had a lot of speech sound errors,it started for my articulation i think i had a lot of speech sound errors
29ma_046,389.49,393.9,and i remember while i was in therapy for articulation i developed my stuttering,and i remember while i was in therapy for articulation i developed my stuttering
29ma_047,394.73,408.1,and i don't remember much speech therapy targeting my stuttering i remember mostly about articulation like practicing saying certain sounds and you know working up to saying them in sentences and things,and i don't remember much speech therapy targeting my stuttering i remember mostly about articulation like practicing saying certain sounds and you know working up to saying them in sentences and things
29ma_048,408.56,414.19,um i don't remember that was private therapy but i think i also had therapy in school,i don't remember that was private therapy but i think i also had therapy in school
29ma_049,415.34,421.55,that i remember being tested i i i remember diagnostics but i don't remember the therapy itself,that i remember being tested i remember diagnostics but i don't remember the therapy itself
29ma_050,422.83,425.11,and that went up until fifth grade,and that went up until fifth grade
29ma_051,426.86,438.17,we moved from this the urban part of where i lived to the more suburban part of where i live from the city of poughkeepsie to the town of poughkeepsie when i was in middle school in sixth grade,we moved from the urban part of where i lived to the more suburban part of where i live from the city of poughkeepsie to the town of poughkeepsie when i was in middle school in sixth grade
29ma_052,438.76,442.87,and i told my parents i i i was tired of the speech therapy i didn't wanna do it anymore,and i told my parents i was tired of the speech therapy i didn't wanna do it anymore
29ma_053,443.63,448.69,and then didn't receive therapy again until high school,and then didn't receive therapy again until high school
29ma_054,449.8,458.63,and that was because my my speech had progressively gotten much much more effortful and uh i was stuttering very very severely,and that was because my speech had progressively gotten much more effortful and i was stuttering very severely
29ma_055,459.63,462.02,and uh had sort of reached a rock bottom,and had sort of reached a rock bottom
29ma_056,462.02,476.74,um and what had happened was i think my grandmother saw something about speech easy on tv maybe like good morning america or oprah or something,and what had happened was i think my grandmother saw something about speech easy on tv maybe like good morning america or oprah or something
29ma_057,477.03,481.78,and called up my mom or cut out a newspaper article or something,and called up my mom or cut out a newspaper article or something
29ma_058,483.55,491.76,anyway my parents approached me about this thing and i was sort of offended and against it i didn't really want to talk about my stuttering or deal with it,anyway my parents approached me about this thing and i was sort of offended and against it i didn't really want to talk about my stuttering or deal with it
29ma_059,492.28,498.76,but i i think the fact that my grandma cut out the clip like made me realize maybe it was a bigger problem than i thought,but i think the fact that my grandma cut out the clip like made me realize maybe it was a bigger problem than i thought
29ma_060,498.99,506.37,so we went down to new york city to talk with a distributor a spe speech distributor he was either an audiologist or a speech pathologist,so we went down to new york city to talk with a distributor a speech distributor he was either an audiologist or a speech pathologist
29ma_061,507.36,514.67,and he said that in order to use a speech easy you should also be receiving therapy that you get the most out of it when you work with a therapist,and he said that in order to use a speech easy you should also be receiving therapy that you get the most out of it when you work with a therapist
29ma_062,515.16,520.53,so we got the speech easy we also start i also started therapy again in high school,so we got the speech easy i also started therapy again in high school
29ma_063,521.09,524.91,with a speech pathologist who specialized in stuttering,with a speech pathologist who specialized in stuttering
29ma_064,525.74,532.41,and i saw her for about a year and a half and that was a good experience,and i saw her for about a year and a half and that was a good experience
29ma_065,532.59,542.34,we i would say half the therapy was fluency type stuff and half of it was attitudinal and sort of changing my perceptions of stuttering and facing my fears,i would say half the therapy was fluency type stuff and half of it was attitudinal and sort of changing my perceptions of stuttering and facing my fears
29ma_066,542.98,551.25,the fluency stuff um i don't think it did much i don't remember many ever being able to use any of it in real life or it really changing anything,the fluency stuff i don't think it did much i don't remember ever being able to use any of it in real life or it really changing anything
29ma_067,551.94,553.87,but the attitudinal stuff really pushed me,but the attitudinal stuff really pushed me
29ma_068,554.96,563.6,to start seeing my life as a stutterer instead of really seeing it as only being able to be lived unless i if i was fluent,to start seeing my life as a stutterer instead of really seeing it as only being able to be lived if i was fluent
29ma_069,564.02,567.98,and she would make me do things like call up places on the phone and fake stutter,and she would make me do things like call up places on the phone and fake stutter
29ma_070,567.98,572.27,and uh would show me videos of adults successful adults stuttering,and would show me videos of successful adults stuttering
29ma_071,572.27,575.92,and uh i think that really helped me to cope with it,and i think that really helped me to cope with it
29ma_072,576.43,585.4,um and that was the last time i received therapy i i left there still stuttering quite severely but with a change with a changed attitude,and that was the last time i received therapy i left there still stuttering quite severely but with a changed attitude
29ma_073,586.48,590.03,and but i would say the biggest changes in my speech happened in grad school,but i would say the biggest changes in my speech happened in grad school
29ma_074,590.55,593.27,um where i it was a lot of self therapy i guess,where it was a lot of self therapy i guess
29ma_075,593.85,600.35,'cause uh my initial clinical experiences were really hard and i could barely speak to my cl uh clients,'cause my initial clinical experiences were really hard and i could barely speak to my clients
29ma_076,601.13,604.69,and uh my clinical supervisors were freaking out and didn't know what to do with me,and my clinical supervisors were freaking out and didn't know what to do with me
29ma_077,604.99,609.07,and i was i was freaking out i i i have to drop out of the program um,and i was freaking out i i have to drop out of the program
29ma_078,609.83,623.17,and just sort of i think that was first time i really needed to work on my speech where it actually became it had consequences and so that really forced me to start applying a lot of the things i have learned over the years,and just sort of i think that was first time i really needed to work on my speech where it had consequences and so that really forced me to start applying a lot of the things i have learned over the years
29ma_079,623.32,633.8,um through the nsa through taking the stuttering classes in grad school i had gone down to visit vivian and her her philosophy was in in in my mind a lot uh,through the nsa through taking the stuttering classes in grad school i had gone down to visit vivian and her philosophy was in my mind a lot
29ma_080,633.82,639.66,so i would say the biggest changes happened from grad school until the present which has just been a lot of self therapy,so i would say the biggest changes happened from grad school until the present which has just been a lot of self therapy
29ma_081,660.91,663.9,i think successful communication is when,i think successful communication is when
29ma_082,665.9,673.8,you are able to express what you wanna say when you want say it in a way that the listener receives that message,you are able to express what you wanna say when you want say it in a way that the listener receives that message
29ma_083,673.93,683.52,and you can both in in a back and forth fashion so the person you're speaking to can also express what they wanna say when they want to say it,and you can both in a back and forth fashion so the person you're speaking to can also express what they wanna say when they want to say it
29ma_084,683.71,687.32,and that that that interaction should be enjoyable,and that interaction should be enjoyable
29ma_085,687.95,706.8,um i'm not sure it has anything to do with stuttering or not i actually i i think stuttering can help enhance successful communication in that a lot of our communication i think is au automatic it uh you sort of get into communicative routines where there's a rhythm to how we speak,i'm not sure it has anything to do with stuttering or not actually i think stuttering can help enhance successful communication in that a lot of our communication i think is automatic you sort of get into communicative routines where there's a rhythm to how we speak
29ma_086,706.8,714.36,and we a lot of times not really saying much other than trite phrases that we say all over and over again like h hi how are you i'm good,and a lot of times not really saying much other than trite phrases that we say all over and over again like hi how are you i'm good
29ma_087,714.83,722.05,but stuttering sort of breaks up all those patterns and forces people to really uh communicate with each other outside of those routines,but stuttering sort of breaks up all those patterns and forces people to really communicate with each other outside of those routines
29ma_088,722.65,730.07,and i think that makes communication more successful 'cause it's it's not bound by heur heuristics,and i think that makes communication more successful 'cause it's not bound by heuristics
29ma_089,730.86,735.56,um a recent communicative exchange that was successful was,a recent communicative exchange that was successful was
29ma_090,736.14,739.6,i just interviewed somebody for stutter talk podcast,i just interviewed somebody for stutter talk podcast
29ma_091,740.34,742.88,um she was a young woman from china,she was a young woman from china
29ma_092,743.14,750.84,and uh we had a great conversation about her she was a young woman who stutters from china and we had a great conversation about her upbringing in china,and we had a great conversation about her she was a young woman who stutters from china and we had a great conversation about her upbringing in china
29ma_093,751.22,754.19,and how differently stuttering was viewed uh,and how differently stuttering was viewed
29ma_094,754.21,756.79,dramatically differently from the united states,dramatically differently from the united states
29ma_095,756.88,761.83,and uh we laughed a lot and i i learned a lot and it was it was a lot of fun,and we laughed a lot and i learned a lot and it was a lot of fun
29ma_096,770.95,777.06,most everything i suppose 'cause like i was saying earlier at my my whole career is around stuttering,most everything i suppose 'cause like i was saying earlier my whole career is around stuttering
29ma_097,777.72,781.31,and i a lot of my friends i met through stuttering,and a lot of my friends i met through stuttering
29ma_098,781.52,787.47,my girlfriend i met in memphis because i was going to school for stuttering in memphis,my girlfriend i met in memphis because i was going to school for stuttering in memphis
29ma_099,787.53,800.54,and i was on a soccer team for speech pathologists in grad school and i i can't think of most i i can't think of anything in my life that wouldn't that would not have been affected by stuttering,and i was on a soccer team for speech pathologists in grad school and i can't think of anything in my life that would not have been affected by stuttering
29ma_100,800.76,816.27,uh it's it's it's almost such a big part of my life that it's hard for me to think of what i would be like because it wouldn't even be me it would be it would it would uh it almost seems absurd to answer i i i think just about everything would be different,it's almost such a big part of my life that it's hard for me to think of what i would be like because it wouldn't even be me it almost seems absurd to answer i think just about everything would be different
29ma_101,838.46,844.67,um i would say that the best way to learn about stuttering is to talk to a person who,i would say that the best way to learn about stuttering is to talk to a person who
29ma_102,846.01,853.34,and that i think what speech therapists especially you need to bear in mind when they're working with people who stutter,and that i think what speech therapists especially you need to bear in mind when they're working with people who stutter
29ma_103,854.03,861.05,is that the stutter itself is not the problem it's the effort spent in wrestling with the stutter,is that the stutter itself is not the problem it's the effort spent in wrestling with the stutter
29ma_104,861.56,864.15,and that i think it's possible to stutter without effort,and that i think it's possible to stutter without effort
29ma_105,864.94,878.21,if you are able to stutter without it anticipating the stutter and then reacting to the stutter and then thinking about the stutter afterwards there's like three moments where you can where the stutter can be disruptive,if you are able to stutter without anticipating the stutter and then reacting to the stutter and then thinking about the stutter afterwards there's like three moments where the stutter can be disruptive
29ma_106,878.74,884.88,but i think that stutter can happen without anticipation without reaction and without uh rumination,but i think that stutter can happen without anticipation without reaction and without rumination
29ma_107,885.46,894.18,um and so it's i think the stutter can be left alone and you can concentrate on those other things,i think the stutter can be left alone and you can concentrate on those other things
29ma_108,894.98,910.2,and i i i from my experience most of the people who i've talked to seem to have s successfully navigated their stuttering that's been how they've done it is just to let themselves stutter without um reacting to it,and from my experience most of the people who i've talked to seem to have successfully navigated their stuttering that's been how they've done it is just to let themselves stutter without reacting to it
29ma_109,910.82,917.15,um and yeah i guess that's it,and yeah i guess that's it
29mb_000,12.57,12.87,right,right
29mb_001,13.51,21.3,um i'd say uh s s um s s stuttering um kind of impacted me,i'd say stuttering kind of impacted me
29mb_002,21.37,24.37,or like i i've had um uh highs and lows,or like i've had highs and lows
29mb_003,24.77,27.88,with with s st s stuttering,with stuttering
29mb_004,28.43,35.78,um e early on um you know d d d d definitely in my uh elementary school,early on you know definitely in my elementary school
29mb_005,36.29,40.28,uh and even up until um mi mi mi middle school,and even up until middle school
29mb_006,40.37,51.86,um uh s s stuttering di um uh di di did impact like you know like the the way that i um you know,stuttering did impact like you know like the way that i you know
29mb_007,51.86,55.19,certainly uh interacted w with our friends in school,certainly interacted with our friends in school
29mb_008,55.47,68.67,however like um you know uh i i i n n n n never re re re re really um felt the full w w w w weight of that uh that you know that early on,however like you know i never really felt the full weight of you know that early on
29mb_009,68.71,73.24,y you know if s somebody um you know made fu fun of me,you know if somebody you know made fun of me
29mb_010,73.24,74.12,on the playground,on the playground
29mb_011,74.14,77.1,you know like i was q q q q quick to defend myself,you know like i was quick to defend myself
29mb_012,77.1,79.28,or make fu fu fun of them back,or make fun of them back
29mb_013,79.59,85.7,but in high school y you know that's when like the the full w weight of s stuttering really hit me,but in high school you know that's when like the full weight of stuttering really hit me
29mb_014,86.15,95.59,um uh but then you know be be be beyond that in uh um the tail end of high high school,but then you know beyond that in the tail end of high school
29mb_015,95.62,96.58,going into college,going into college
29mb_016,96.58,100.17,i finally received the uh p proper therapy,i finally received the proper therapy
29mb_017,100.68,106.3,um i i changed my r re relationship wi with it,i changed my relationship with it
29mb_018,106.33,108.77,and now i'm in a uh b b b b better place,and now i'm in a better place
29mb_019,109.29,111.25,with uh s st stuttering,with stuttering
29mb_020,111.71,116.71,um i it has helped me it has le le le led me to the uh nsa,it has led me to the nsa
29mb_021,116.73,120.45,and you know other uh s s self help groups,and you know other self help groups
29mb_022,120.84,130.44,it has le le le led me to pursuing um a a uh a uh ca c career in s s speech pathology,it has led me to pursuing a career in speech pathology
29mb_023,131.08,137.65,um so uh it so so there so there are some p positive aspects of of s s stuttering,so so there are some positive aspects of stuttering
29mb_024,137.66,138.79,in m my life,in my life
29mb_025,152.1,157.51,um so i i you know again ju you know just a broad like li li lifespan view,so you know again you know just a broad like lifespan view
29mb_026,158.0,162.73,uh early on in elementary school i i i received,early on in elementary school i received
29mb_027,162.89,167.34,uh you know n n now in hindsight kn knowing what what i know now,you know now in hindsight knowing what i know now
29mb_028,167.75,170.55,i r received the wrong kind of the therapy,i received the wrong kind of therapy
29mb_029,171.08,177.6,um it was more of uh hooked on phonics t uh t t type of therapy,it was more of hooked on phonics type of therapy
29mb_030,177.6,178.01,i don't know,i don't know
29mb_031,178.49,182.41,was the uh p p popular thing in then n in then n n nineties,was the popular thing in then nineties
29mb_032,182.94,188.42,um but you know uh obviously that turned out to not be the treatment for me,but you know obviously that turned out to not be the treatment for me
29mb_033,189.07,198.58,um and then i guess uh i w i k kinda just went on throughout school wi w w w without therapy,and then i guess i kinda just went on throughout school without therapy
29mb_034,199.01,201.23,until you know again the tail end of high school,until you know again the tail end of high school
29mb_035,201.24,217.18,i i fi finally you know had the opportunity to go to um a uh uh uh faci facility that that focused uh primarily on on s s s stuttering,i finally you know had the opportunity to go to a facility that focused primarily on stuttering
29mb_036,217.19,218.69,in new new new new york,in new york
29mb_037,219.19,222.95,uh the american institute for s s s stuttering,the american institute for stuttering
29mb_038,223.69,229.45,and um you know that's when i just got th thrown to the wolves,and you know that's when i just got thrown to the wolves
29mb_039,229.45,231.2,with desensitization,with desensitization
29mb_040,231.2,236.62,and um just changing you know again my re relationship with s s stuttering,and just changing you know again my relationship with stuttering
29mb_041,237.75,241.67,l learning um you know all the all the tools,learning you know all the tools
29mb_042,241.71,248.18,um you you know uh that that i could choose from,you know that i could choose from
29mb_043,248.57,253.17,uh to address s s uh s s s stuttering,to address stuttering
29mb_044,253.17,255.42,in the way that i see um b b best,in the way that i see best
29mb_045,256.43,258.94,so i kinda like t tried everything,so i kinda like tried everything
29mb_046,258.94,263.77,i was uh primarily uh f focused on f fluency,i was primarily focused on fluency
29mb_047,264.32,265.81,um at the the outset,at the outset
29mb_048,265.81,268.89,so fluency shaping tools were the ones that i tried,so fluency shaping tools were the ones that i tried
29mb_049,269.39,275.66,um and then you know it t took me a you know a f a c c c couple of years to realize,and then you know it took me you know a a couple of years to realize
29mb_050,276.12,276.7,you know again,you know again
29mb_051,276.77,278.41,you know just sp speaking for myself,you know just speaking for myself
29mb_052,278.41,286.53,that y you know that that wa wa wa wasn't the the uh the um the uh tools for th those weren't the tools for me,those weren't the tools for me
29mb_053,287.06,293.31,um and so i kinda like uh s s settled with y s stuttering openly,and so i kinda like settled with stuttering openly
29mb_054,293.49,299.62,um um doing some of the stuttering m m modification techniques,doing some of the stuttering modification techniques
29mb_055,312.72,320.87,i'd say um a good successful interaction would just be getting my me me me message across,i'd say a good successful interaction would just be getting my message across
29mb_056,320.92,322.71,uh f first and f f foremost,first and foremost
29mb_057,323.22,331.11,and i guess just not fe fe feeling an any any g g g guilt at the end of it,and i guess just not feeling any guilt at the end of it
29mb_058,331.12,334.4,so b by that wh what i mean is you know not having,so by that what i mean is you know not having
29mb_059,335.03,336.96,well i guess like g g guilt isn't the word,well i guess like guilt isn't the word
29mb_060,336.96,339.87,but not f having any r re regrets,but not having any regrets
29mb_061,339.89,342.42,after the the communication exchange,after the communication exchange
29mb_062,342.79,354.14,so by that i mean like not um not um k kicking myself for like d doing a uh w w word switch,so by that i mean like not not kicking myself for like doing a word switch
29mb_063,354.14,362.56,or not um ki ki ki kicking myself for uh lo lo lo lo losing eye contact,or not kicking myself for losing eye contact
29mb_064,362.56,372.69,or you know do do doing th things that y you know that i um yeah you know that i would re re re re re regret,or you know doing things that you know that yeah you know that i would regret
29mb_065,372.71,374.92,when the communication exchange is finished,when the communication exchange is finished
29mb_066,382.19,382.51,hmm,hmm
29mb_067,383.55,396.37,um you know again you know i'm i'm i'm fo fo fortunate to to be be be be um um in in our gr gr gr graduate school,you know again you know i'm fortunate to be in our graduate school
29mb_068,396.37,399.79,and you know having le le learned what i learned about st st stuttering,and you know having learned what i learned about stuttering
29mb_069,400.29,406.66,um i i do um you know agree with what uh re re researchers a are saying,i do you know agree with what researchers are saying
29mb_070,406.66,410.09,that you know it's a uh g g genetic,that you know it's a genetic
29mb_071,410.2,415.28,um or s s stuttering has g g g g g genetic roots,or stuttering has genetic roots
29mb_072,415.98,426.75,um uh i'm not sure like if i mean like i guess y you know there's ongoing re re research now,i'm not sure i mean like i guess you know there's ongoing research now
29mb_073,427.26,434.5,uh investigating like w you know what particular genes are are being are mu mu mu mu mutated,investigating like you know what particular genes are mutated
29mb_074,434.5,439.53,and um you know how that links to s s stuttering,and you know how that links to stuttering
29mb_075,440.3,450.86,um so i'd say the uh th the cause is d d d definitely uh g g g g genetic,so i'd say the the cause is definitely genetic
29mb_076,450.64,460.64,with n neural b biological um um res or like outcomes,with neural biological or like outcomes
29mb_077,460.67,463.19,because of that ge ge ge genetic abnormality,because of that genetic abnormality
29mb_078,463.66,463.83,mhm,mhm
29mb_079,467.14,467.84,hmm,hmm
29mb_080,477.7,478.51,yeah yeah yes,yeah yes
29mb_081,478.55,480.82,uh um i have,
29mb_082,481.16,486.7,um i don't th th th th think i would be the the the same person i am to to today,i don't think i would be the same person i am today
29mb_083,487.29,492.6,um although i mean like y you know like i did gr gr gr grow up in a you know,although i mean like you know like i did grow up in a you know
29mb_084,492.6,502.37,my my environment you know i'd say um gr growing up you know p p p p p played a m m major part in mo mo mo molding me,my environment you know i'd say growing up you know played a major part in molding me
29mb_085,502.84,509.62,but like i i feel like a few personality traits w would be d d d different if i didn't st st stutter,but like i feel like a few personality traits would be different if i didn't stutter
29mb_086,509.65,512.44,you know maybe i'd be less um e empathetic,you know maybe i'd be less empathetic
29mb_087,512.93,521.12,um m m maybe i wouldn't be um you know like a good uh uh as good of a l l l l listener,maybe i wouldn't be you know like a as good of a listener
29mb_088,521.12,524.57,that i i f f f feel that i am to to today,that i feel that i am today
